,Player,Prob
5,Calvin Turner,0.16046871
17,Erik Ezukanma,0.14855611
12,David Bell,0.14855611
21,Jahan Dotson,0.14360265
9,Christian Watson,0.142191
4,Calvin Austin,0.142191
26,Jaquarii Roberson,0.14037944
33,Kevin Austin,0.14037944
15,Drake London,0.14037944
3,Britain Covey,0.1391654
40,Romeo Doubs,0.1343094
25,Jameson Williams,0.1343094
38,Mike Woods,0.13260415
1,Bo Melton,0.122543894
49,Ty Fryfogle,0.12094736
16,Emeka Emezie,0.11505562
35,Kyle Philips,0.10995619
46,Tay Martin,0.108196065
34,Khalil Shakir,0.10428976
18,Garrett Wilson,0.10428976
41,Samori Toure,0.10428976
11,Danny Gray,0.10428976
53,Wan'Dale Robinson,0.10428976
27,Jerreth Sterns,0.10412256
42,Skyy Moore,0.10197479
10,Dai'Jean Dixon,0.10197479
39,Reggie Robberson,0.10004621
47,Tre Turner,0.09828488
28,John Metchie,0.098268375
36,Makai Polk,0.09816439
0,Alec Pierce,0.09816439
48,Treylon Burks,0.09392836
50,Tyler Snead,0.09080855
44,Stanley Berryhill,0.08933427
20,Isaiah Weston,0.08832828
31,Justyn Ross,0.0840049
37,McLane Mannix,0.08057582
19,George Pickens,0.08048888
52,Velus Jones,0.07815661
23,Jalen Nailor,0.07686758
30,Josh Johnson,0.07674058
51,Tyquan Thornton,0.07511024
8,Chris Olave,0.07243022
7,Charleston Rambo,0.07243022
22,Jaivon Heiligh,0.072309375
13,Devon Williams,0.0713965
24,Jalen Tolbert,0.069819234
2,Braylon Sanders,0.066328205
32,KD Nixon,0.060201943
54,Cameron Dollar,0.05908483
6,Cameron Dollar,0.05908483
29,Johnny Johnson,0.058984835
14,Dontario Drummond,0.05342607
45,Tarique Milton,0.05001248
43,Slade Bolden,0.036653753
