,Player,Prob
108,Lynn Bowden,0.22928758
129,Ashton Dulin,0.15529573
147,Jalen Hurd,0.15514113
140,Felton Davis,0.14855611
154,Keelan Doss,0.14855611
26,Ihmir Smith-Marsette,0.14728346
161,N'Keal Harry,0.14728346
159,Mecole Hardman,0.14703855
94,Jauan Jennings,0.14543559
45,Otis Anderson,0.14419267
15,Dazz Newsome,0.142191
98,John Hightower,0.142191
106,Laviska Shenault,0.142191
38,Kadarius Toney,0.142191
97,Joe Reed,0.142191
135,Deebo Samuel,0.142191
84,Earnest Edwards,0.142191
42,Marquez Stevenson,0.142191
142,Greg Dortch,0.14197265
128,Antoine Wesley,0.14037944
31,Ja'Marr Chase,0.14037944
96,Jerry Jeudy,0.14037944
6,Ben Skowronek,0.14037944
60,Trevon Grimes,0.14037944
120,Trishton Jackson,0.13740295
176,Tyre Brady,0.13740295
134,David Sills,0.13672431
114,Quez Watkins,0.1343094
85,Freddie Swain,0.1343094
32,Jaylen Waddle,0.1343094
70,Brandon Aiyuk,0.1343094
137,Diontae Johnson,0.1343094
133,Darrius Shepherd,0.1343094
41,Khalil McClain,0.13167752
91,Isaiah Wright,0.12837078
92,Jalen Reagor,0.12837078
152,Jovon Durante,0.12670927
127,Anthony Ratliff-Williams,0.122543894
21,D'Wayne Eskridge,0.12136959
16,DeVonta Smith,0.12136959
175,Trey Brock,0.11671316
166,Penny Hart,0.11560457
119,Tony Brown,0.11455025
75,Cody White,0.11455025
145,Jakobi Meyers,0.10954413
115,Quintez Cephus,0.10867672
132,Darius Slayton,0.10789486
51,Shi Smith,0.107346445
39,Kawaan Baker,0.10537142
19,DJ Turner,0.10481305
73,Chase Claypool,0.10475517
0,Adrian Hardy,0.10475517
146,Jalen Guyton,0.10475517
111,Nick Westbrook,0.10475517
22,Dyami Brown,0.10475517
164,Olamide Zaccheaus,0.10428976
157,Lil'Jordan Humphrey,0.10428976
88,Henry Ruggs,0.10428976
165,Parris Campbell,0.10428976
150,Jeff Smith,0.10428976
81,Devin Duvernay,0.10428976
66,Aaron Parker,0.10428976
177,Tyron Johnson,0.10428976
24,Elijah Moore,0.10412256
30,Jalen Camp,0.10377417
5,Antwan Davis,0.10342032
11,Cade Johnson,0.10257904
93,James Proche,0.10197479
72,CeeDee Lamb,0.10197479
71,Bryan Edwards,0.10197479
131,Damion Willis,0.10186733
1,Amari Rodgers,0.10042648
110,Michael Pittman,0.10004621
109,Marquez Callaway,0.10004621
63,Tyler Vaughns,0.09988427
83,Donovan Peoples-Jones,0.09987387
33,Jeremiah Haydel,0.09913582
95,Jeff Thomas,0.09876473
40,Keylon Stokes,0.09828488
103,KJ Hamler,0.098268375
104,KJ Hill,0.098268375
155,KeeSean Johnson,0.098268375
8,Branden Mack,0.098268375
123,Van Jefferson,0.098268375
170,Stanley Morgan,0.098268375
136,Dillon Mitchell,0.098268375
169,Scott Miller,0.098268375
118,Tee Higgins,0.098268375
89,Isaiah Coulter,0.098268375
28,Jacob Harris,0.09816439
82,Dezmon Patmon,0.09816439
156,Kelvin Harmon,0.09816439
10,Brennan Eagles,0.09816439
139,Emanuel Hall,0.09816439
138,DK Metcalf,0.09816439
160,Miles Boykin,0.09816439
76,Collin Johnson,0.09816439
67,Antonio Gandy-Golden,0.09816439
36,Josh Imatorbhebhe,0.09816439
43,Nico Collins,0.09816439
64,Warren Jackson,0.09816439
86,Gabriel Davis,0.09816439
158,Marquise Brown,0.09815418
151,JJ Arcega-Whiteside,0.09598307
55,Terrace Marshall,0.09598307
90,Isaiah Hodgins,0.09598307
174,Travis Fulgham,0.09598307
52,Simi Fehoko,0.09597306
3,Anthony Schwartz,0.095128655
58,Tre Nixon,0.09411661
7,Blake Proehl,0.093572356
143,Hakeem Butler,0.09101945
121,Tyler Johnson,0.09100991
172,Terry Godwin,0.09035701
59,Tre Walker,0.090027735
53,Tamorrion Terry,0.08958327
48,Rondale Moore,0.08933427
101,Kalija Lipscomb,0.08933427
113,Quartney Davis,0.08918867
112,Omar Bayless,0.08874414
173,Terry McLaurin,0.08837377
130,DaMarkus Lodge,0.08414352
13,Damon Hazelton,0.08409526
171,Steven Sims,0.08409526
162,Nyqwan Murray,0.08409526
44,Osirus Mitchell,0.0840049
17,Dez Fitzpatrick,0.0840049
50,Seth Williams,0.0840049
47,Rashod Bateman,0.0840049
4,Antonio Nunn,0.08291076
29,Jaelon Darden,0.08157565
37,Josh Palmer,0.08114097
107,Lawrence Cager,0.080525205
117,Stephen Guidry,0.080525205
148,James Gardner,0.08048888
57,TJ Vasher,0.08048888
167,Preston Williams,0.080238044
100,Juwan Johnson,0.07970351
168,Riley Ridley,0.07811219
61,Tutu Atwell,0.07686758
20,Donnie Corley,0.076342195
78,Darrell Stewart,0.076242946
105,KJ Osborn,0.07599235
79,Denzel Mims,0.07524341
126,Anthony Johnson,0.07524341
125,Andy Isabella,0.074406065
2,Amon-Ra St Brown,0.073725566
69,Binjimen Victor,0.0730609
23,Eli Stove,0.072455116
25,Eric Kumah,0.07244063
99,Justin Jefferson,0.07243022
12,Cornell Powell,0.072309375
35,Jonathan Adams,0.072309375
49,Sage Surratt,0.072309375
141,Gary Jennings,0.072309375
27,Isaiah McKoy,0.072309375
124,AJ Brown,0.072309375
62,Tylan Wallace,0.07230164
65,Whop Philyor,0.07147439
74,Chris Finke,0.07147439
34,Jhamon Ausbon,0.0713965
56,Terrell Jana,0.0713965
14,Damonte Coxie,0.06924587
18,Dillon Stoner,0.06812024
122,Tyrie Cleveland,0.06536177
87,George Campbell,0.065021195
77,Darnell Mooney,0.061728626
149,Jaylen Smith,0.06162445
102,Kendrick Rogers,0.059606753
9,Brandon Smith,0.05808502
144,Hunter Renfrow,0.055254906
80,Derrick Dillon,0.054038297
163,Olabisi Johnson,0.05227289
153,Juwann Winfree,0.050458588
46,Racey McMath,0.050458588
68,Austin Mack,0.050458588
54,Tarik Black,0.050458588
116,Seth Dawkins,0.05001248
